Red Fighter,Blue Fighter,Referee,Date,Location,Winner,Title Fight,Weight Class,Blue avg knockdowns,Blue avg sig strike pct
Adrian Yanez,Gustavo Lopez,Chris Tognoni,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Bantamweight,0,0.42
Trevin Giles,Roman Dolidze,Herb Dean,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.5,0.66
Tai Tuivasa,Harry Hunsucker,Herb Dean,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Heavyweight,,
Cheyanne Buys,Montserrat Conejo,Mark Smith,3/20/21,"Las Vegas, Nevada, USA",Blue,FALSE,WomenStrawweight,,
Marion Reneau,Macy Chiasson,Mark Smith,3/20/21,"Las Vegas, Nevada, USA",Blue,FALSE,WomenBantamweight,0.125,0.535625
Leonardo Santos,Grant Dawson,Chris Tognoni,3/20/21,"Las Vegas, Nevada, USA",Blue,FALSE,Lightweight,0,0.515
Song Kenan,Max Griffin,Keith Peterson,3/20/21,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,0.046875,0.459277344
Derek Brunson,Kevin Holland,Herb Dean,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Middleweight,0.15625,0.791582031
Montel Jackson,Jesse Strader,Keith Peterson,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Bantamweight,,
Bruno Silva,JP Buys,Mark Smith,3/20/21,"Las Vegas, Nevada, USA",Red,FALSE,Flyweight,,
Manel Kape,Matheus Nicolau,,3/13/21,"Las Vegas, Nevada, USA",Blue,FALSE,Flyweight,1,0.47375
Misha Cirkunov,Ryan Spann,Mark Smith,3/13/21,"Las Vegas, Nevada, USA",Blue,FALSE,LightHeavyweight,1.0625,0.473125
Leon Edwards,Belal Muhammad,Herb Dean,3/13/21,"Las Vegas, Nevada, USA",Draw,FALSE,Welterweight,0,0.465732422
Charles Jourdain,Marcelo Rojo,Mark Smith,3/13/21,"Las Vegas, Nevada, USA",Red,FALSE,Featherweight,,
Eryk Anders,Darren Stewart,Herb Dean,3/13/21,"Las Vegas, Nevada, USA",Draw,FALSE,Middleweight,0.0234375,0.451445313
Angela Hill,Ashley Yoder,Mike Beltran,3/13/21,"Las Vegas, Nevada, USA",Red,FALSE,WomenStrawweight,0.015625,0.496640625
Jonathan Martinez,Davey Grant,Chris Tognoni,3/13/21,"Las Vegas, Nevada, USA",Blue,FALSE,Bantamweight,0.5,0.464375
Dan Ige,Gavin Tucker,Mike Beltran,3/13/21,"Las Vegas, Nevada, USA",Red,FALSE,Featherweight,0,0.529375
Nasrat Haqparast,Rafa Garcia,Chris Tognoni,3/13/21,"Las Vegas, Nevada, USA",Red,FALSE,Lightweight,,
Cortney Casey,JJ Aldrich,Mark Smith,3/13/21,"Las Vegas, Nevada, USA",Blue,FALSE,WomenFlyweight,0,0.4046875
Matthew Semelsberger,Jason Witt,Chris Tognoni,3/13/21,"Las Vegas, Nevada, USA",Red,FALSE,Welterweight,0,0.52
